__run_id,__done,cache_config,test_duration,test_success_rate,scenario_count,powerjoular_power,powerjoular_util,vm_avg_cpu_percent,vm_avg_memory_mb,vm_avg_thread_count,vm_total_io_read_count,vm_total_io_write_count
run_0_repetition_0,DONE,extended_expiration,5149.0,98.7,79,40.43,22.393,144.9,30555.31,25.54,6067447,6295175
run_1_repetition_0,DONE,larger_cache,5212.0,100.0,79,40.028,27.531,191.46,30556.27,27.45,6453155,6831889
run_0_repetition_1,DONE,extended_expiration,5037.0,100.0,79,40.957,22.544,185.58,30556.09,25.81,6309488,6652319
run_1_repetition_1,DONE,larger_cache,5025.0,100.0,79,41.195,24.161,182.22,30556.45,31.79,6292819,6641883
run_0_repetition_2,DONE,extended_expiration,4512.0,100.0,79,41.573,24.949,199.11,30555.92,29.02,5702239,6046072
run_1_repetition_2,DONE,larger_cache,5073.0,100.0,79,40.931,23.557,185.53,30555.87,26.04,6326520,6674283
run_0_repetition_3,DONE,extended_expiration,5034.0,100.0,79,41.138,38.775,182.91,30556.0,24.43,6286307,6628535
run_1_repetition_3,DONE,larger_cache,4455.0,100.0,79,41.764,30.204,200.0,30556.15,31.78,5654073,6009600
run_0_repetition_4,DONE,extended_expiration,4503.0,100.0,79,41.987,27.877,199.32,30555.41,30.85,5730136,6072860
run_1_repetition_4,DONE,larger_cache,5185.0,100.0,79,39.933,38.52,182.97,30556.49,27.97,6428219,6814123
run_0_repetition_5,DONE,extended_expiration,4411.0,100.0,79,41.675,27.139,199.6,30556.14,30.27,5623683,5967211
run_1_repetition_5,DONE,larger_cache,5240.0,100.0,79,40.025,39.736,184.59,30555.96,30.36,6477391,6845385
run_0_repetition_6,DONE,extended_expiration,5086.0,100.0,79,41.336,25.313,181.34,30555.8,27.75,6362920,6705050
run_1_repetition_6,DONE,larger_cache,5247.0,100.0,79,40.21,25.163,188.27,30556.41,30.25,6456249,6826887
run_0_repetition_7,DONE,extended_expiration,5195.0,100.0,79,39.917,23.272,190.57,30555.58,23.03,6451823,6812172
run_1_repetition_7,DONE,larger_cache,5076.0,100.0,79,40.023,26.593,183.16,30556.02,24.87,6330725,6684910
run_0_repetition_8,DONE,extended_expiration,5039.0,100.0,79,40.325,23.191,191.48,30556.21,26.85,6268894,6631120
run_1_repetition_8,DONE,larger_cache,5187.0,100.0,79,41.739,23.522,188.99,30556.2,31.6,6409467,6784468
run_0_repetition_9,DONE,extended_expiration,5058.0,100.0,79,40.226,27.453,185.63,30556.2,26.58,6303526,6658426
run_1_repetition_9,DONE,larger_cache,4438.0,100.0,79,40.813,25.864,203.76,30556.08,28.95,5680553,6014976
